COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Mauritius,MUS,AFRO,REPORTING,2023-05-21,2615218,1123773,205.636,88.363,1088142,85.561,,2021-01-26,3,640398,50.355
Mexico,MEX,AMRO,REPORTING,2023-05-05,222226293,96727823,172.358,75.022,81346379,63.092,,2020-12-24,8,57014052,44.22
Micronesia (Federated States of),FSM,WPRO,REPORTING,2023-03-28,198749,83871,172.791,72.917,80910,70.342,,2021-01-13,4,30537,26.549
Monaco,MCO,EURO,REPORTING,2022-12-04,71027,25319,181,64.517,24933,63.533,,2021-06-30,7,17806,45.373
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144,2284018,172.899,69.671,2185282,66.659,,2021-02-23,6,1058839,32.299
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735,272152,83.4,43.763,251583,40.456,,2021-02-24,5,0,0
Montserrat,MSR,AMRO,REPORTING,2023-05-05,4619,2104,92.398,42.088,1952,39.048,,2021-02-08,2,563,11.262
Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10,6884356,18.651
Mozambique,MOZ,AFRO,REPORTING,2023-04-23,29457535,19939353,94.248,63.795,19765811,63.24,,2021-03-08,3,1260643,4.033
Myanmar,MMR,SEARO,REPORTING,2022-06-18,64549994,34777314,118.637,63.917,27545329,50.626,,2021-01-27,2,2227351,4.094
Namibia,NAM,AFRO,REPORTING,2023-05-14,990462,616314,38.981,24.256,538776,21.204,,2021-03-19,4,298560,11.75
Nauru,NRU,WPRO,REPORTING,2023-02-20,32157,13106,296.816,120.971,11346,104.726,,2021-04-09,2,7705,71.119
Nepal,NPL,SEARO,REPORTING,2023-05-23,61933902,27797754,212.562,95.404,24369133,83.637,,2021-01-27,8,9767015,33.521
Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753,12776868,207.4,73.398,11957152,68.689,,2021-01-06,6,9417108,54.098
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497,192371,168.301,67.381,184801,64.729,,2021-01-20,2,103325,36.191
New Zealand,NZL,WPRO,REPORTING,2023-04-21,12252378,4241210,254.081,87.951,4084115,84.693,,2021-02-19,4,2719283,56.391
Nicaragua,NIC,AMRO,REPORTING,2023-05-05,15328476,6260823,231.389,94.509,6091122,91.948,,2021-03-03,11,2892531,43.664
Niger,NER,AFRO,REPORTING,2023-03-12,7339299,6217508,30.319,25.685,5454196,22.532,,2021-03-29,2,,
Nigeria,NGA,AFRO,REPORTING,2023-03-19,116606863,82325196,56.567,39.937,69793071,33.857,,2021-03-05,1,12313372,5.973
Niue,NIU,WPRO,REPORTING,2023-03-04,4923,1638,304.265,101.236,1635,101.051,,2021-06-08,1,1225,75.711
North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987,854570,89.4,41.159,838181,40.37,,2021-02-17,7,161633,7.785
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2022-11-04,116159,46466,201.816,80.73,45012,78.204,,2020-12-19,3,24235,42.106
Norway,NOR,EURO,REPORTING,2023-05-14,12333824,4347099,229.8,80.988,4062092,75.678,,2020-12-23,4,3020359,56.27
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571,2012767,73.481,39.455,1776973,34.833,,2021-02-02,10,336967,6.605
Oman,OMN,EMRO,REPORTING,2022-10-25,7086050,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,2023-05-29,338879164,165548396,153.414,74.945,140444546,63.581,,2021-02-03,11,51108214,23.137
Palau,PLW,WPRO,REPORTING,2023-03-10,51032,18573,282.069,102.659,18278,101.028,,2021-01-03,3,12885,71.219
Panama,PAN,AMRO,REPORTING,2023-05-05,8878948,3532289,205.78,81.865,3173771,73.556,,2021-01-20,2,1769291,41.005
Papua New Guinea,PNG,WPRO,REPORTING,2023-05-21,526816,384951,5.888,4.303,323991,3.621,,2021-03-30,4,34918,0.39
Paraguay,PRY,AMRO,REPORTING,2023-05-05,9708932,3992209,136.122,55.972,3545972,49.715,,2021-02-22,8,1660654,23.283
Peru,PER,AMRO,REPORTING,2023-05-05,89218831,30469892,270.591,92.412,28637674,86.855,,2021-02-09,4,22094790,67.011
Philippines,PHL,WPRO,REPORTING,2023-03-09,170690206,78480056,155.766,71.618,74049515,67.575,,2021-03-01,11,21756899,19.855
Pitcairn Islands,PCN,WPRO,REPORTING,2022-02-28,138,55,276,110,37,74,,2021-05-17,1,23,46
Poland,POL,EURO,REPORTING,2023-05-14,58206296,22982713,153.3,60.548,22703730,59.813,,2020-12-23,5,12530960,33.013
Portugal,PRT,EURO,REPORTING,2023-05-14,27771091,9786666,269.7,95.215,8901440,86.456,,2020-12-23,12,7053415,68.507
Puerto Rico,PRI,AMRO,REPORTING,2023-05-05,7838884,2904859,274.005,101.538,2687623,93.945,,,4,1807449,63.179
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178,2852178,264.111,98.998,2852178,98.998,,,10,1904822,66.115
Republic of Korea,KOR,WPRO,REPORTING,2023-03-30,135716807,44891328,264.714,87.56,42964865,83.803,,2021-02-26,5,33643872,65.622
Republic of Moldova,MDA,EURO,REPORTING,2023-05-14,2287894,1108735,56.7,27.485,1078250,26.729,,2021-03-03,7,402330,9.974
Romania,ROU,EURO,REPORTING,2023-05-07,16110007,8187839,83.3,42.361,8142015,42.124,,2021-01-27,4,1768563,9.15
Russian Federation,RUS,EURO,OWID,2023-05-16,186678610,88798804,127.9,60.848,79701705,54.615,,,2,,
Rwanda,RWA,AFRO,REPORTING,2023-01-01,26106436,10572981,201.56,81.631,9897876,76.418,,2021-03-05,7,5879013,45.39
Saba,XCA,AMRO,REPORTING,2023-05-05,4979,1687,257.579,87.274,1667,86.239,,,,1170,60.528
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,2021-05-05,7892,4361,129.995,71.833,3531,58.162,,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-05-05,64297,33794,120.877,63.532,27000,50.76,,2021-02-22,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,2023-05-05,122977,60140,66.971,32.751,54971,29.936,,2021-02-17,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-05-05,73443,37532,66.201,33.831,31632,28.513,,2021-02-01,5,4279,3.857
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130,191403,228.376,96.466,177954,89.688,,2021-04-18,2,82268,41.463
San Marino,SMR,EURO,REPORTING,2022-05-22,69338,26357,204.3,76.501,23633,68.595,,2021-02-24,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,2023-05-07,262837,140256,119.93,63.997,111986,51.098,,2021-03-15,2,34494,15.739
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631,27041364,196.86,77.674,25433941,73.057,,2021-01-06,10,16059326,46.129
Senegal,SEN,AFRO,REPORTING,2023-05-07,2936343,2684696,17.537,16.034,1442833,8.617,,2021-02-23,3,815965,4.873
Serbia,SRB,EURO,REPORTING,2023-03-05,6722671,3398116,97.1,49.058,3324555,47.996,,2020-12-23,5,0,0
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558,88520,228.332,90.008,83565,84.97,,2021-01-10,4,44936,45.691
Sierra Leone,SLE,AFRO,REPORTING,2023-05-21,8124614,5252127,101.851,65.841,4474092,56.088,,2021-03-15,2,865598,10.851
Singapore,SGP,WPRO,REPORTING,2023-03-28,14904028,5156281,254.755,88.136,5119313,87.505,,2020-12-30,4,4628434,79.114
Sint Eustatius,XBA,AMRO,REPORTING,2023-05-05,4319,1791,137.592,57.056,1686,53.711,,,,767,24.435
Sint Maarten,SXM,AMRO,REPORTING,2023-05-05,66829,29788,155.844,69.465,26773,62.434,,2021-02-22,3,9146,21.328
Slovakia,SVK,EURO,REPORTING,2023-05-14,7220974,2839390,132.3,52.024,2791155,51.14,,2020-12-23,7,1686204,30.895
Slovenia,SVN,EURO,REPORTING,2023-05-14,3009930,1223424,143.6,58.373,1193132,56.928,,2020-12-23,8,650669,31.045
Solomon Islands,SLB,WPRO,REPORTING,2023-04-30,610594,334834,88.893,48.747,252585,36.773,,2021-03-23,4,27444,3.995
Somalia,SOM,EMRO,REPORTING,2023-04-30,9443849,8370355,59.421,52.666,7035193,44.265,,2021-03-16,11,,
South Africa,ZAF,AFRO,REPORTING,2023-05-14,38841308,24209938,65.49,40.82,21038797,35.473,,2021-02-17,2,4377439,7.381
South Sudan,SSD,AFRO,REPORTING,2023-05-07,4312900,4262480,38.53,38.079,4220606,37.705,,2021-04-06,2,440238,3.933
Spain,ESP,EURO,REPORTING,2023-05-14,112806846,41326543,238.3,87.311,37482295,79.189,,2020-12-30,4,26557455,56.108
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6,8220002,38.387
Sudan,SDN,EMRO,REPORTING,2023-04-02,22598737,15207452,51.537,34.681,13416394,30.597,,2021-03-09,11,3891363,8.874
Suriname,SUR,AMRO,REPORTING,2023-05-05,554588,267820,94.538,45.654,237879,40.55,,2021-02-23,5,48889,8.334
Sweden,SWE,EURO,REPORTING,2023-05-14,23221955,7470334,224.9,72.334,7332646,71.001,,2020-12-23,5,5540679,53.649
Switzerland,CHE,EURO,REPORTING,2023-05-14,16754460,6096538,193.6,70.84,5722923,66.499,,2020-12-23,6,4995324,58.044
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630,3295630,29.088,18.831,2358365,13.476,,2021-04-01,11,75881,0.434
Tajikistan,TJK,EURO,REPORTING,2022-12-04,18871161,5311967,197.9,55.695,5170582,54.212,,2021-03-24,6,5200841,54.53
Thailand,THA,SEARO,REPORTING,2023-04-28,139178079,57628237,199.396,82.562,54162023,77.596,,2021-02-28,8,27387819,39.238
The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820,53813491,222.8,79.068,50762968,74.586,,2020-12-21,3,,
Timor-Leste,TLS,SEARO,REPORTING,2023-05-23,2018182,883930,153.073,67.043,799362,60.629,,2021-04-07,4,334890,25.4
Togo,TGO,AFRO,REPORTING,2023-04-02,3401991,2246404,41.093,27.135,1554066,18.772,,2021-03-10,1,427804,5.168
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342,2203,469.778,163.185,2203,163.185,,2021-07-20,1,968,71.704
Tonga,TON,WPRO,REPORTING,2023-04-30,204640,87345,193.614,82.639,77366,73.197,,2021-04-14,2,38545,36.468
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-05-05,1589640,754399,113.587,53.905,718969,51.374,,2021-02-17,5,174836,12.493
Tunisia,TUN,EMRO,REPORTING,2023-05-23,13251715,7218770,112.126,61.08,6400830,54.159,,2021-03-13,10,1258254,10.646
Turkey,TUR,EURO,REPORTING,2023-01-29,139694693,50974980,,61.919,50670345,60.935,,,3,27896331,33.547
Turkmenistan,TKM,EURO,REPORTING,2023-02-05,13040514,3359468,216.2,55.702,3358426,55.684,,2021-02-24,7,3171535,52.586
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-05-05,73907,32815,190.885,84.754,30710,79.317,,2021-01-11,1,7443,19.224
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783,9763,227.129,82.793,9505,80.605,,2021-04-13,1,5745,48.719
Uganda,UGA,AFRO,REPORTING,2023-03-26,26406936,19488104,57.731,42.605,13043107,28.515,,2021-03-10,5,745313,1.629
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577,15774300,72.4,36.069,15153577,34.65,,2021-02-24,6,741197,1.695
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054,9991089,251.982,101.018,9792266,99.008,,,11,5138699,51.956
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-03-12,39392419,34434933,65.946,57.647,32165791,53.848,,2021-07-28,3,,
United States of America,USA,AMRO,REPORTING,2023-05-05,668168096,267224818,201.862,80.732,227895076,68.85,,2020-12-14,4,116556397,35.213
Uruguay,URY,AMRO,REPORTING,2023-05-05,9018326,3009646,259.615,86.64,2902292,83.55,,2021-02-27,3,2079662,59.868
Uzbekistan,UZB,EURO,REPORTING,2023-04-16,75807715,21717290,226.5,64.887,18147665,54.222,,2021-04-28,9,15454425,46.175
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430,176624,115.721,57.505,162250,52.825,,2021-06-02,3,16556,5.39
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-05-05,37860994,22157232,133.145,77.92,14287370,50.244,,2021-02-22,6,651502,2.291
Viet Nam,VNM,WPRO,REPORTING,2023-05-11,266312906,90259259,273.594,92.727,85931210,88.281,,2021-03-08,6,57930065,59.514
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303,7150,153.859,63.578,6803,60.493,,2021-03-19,1,3350,29.788
Yemen,YEM,EMRO,REPORTING,2023-04-18,1275368,1032545,4.276,3.462,788707,2.644,,2021-04-20,11,63989,0.215
Zambia,ZMB,AFRO,REPORTING,2023-04-09,13614983,11637730,74.059,63.304,9147920,49.76,,2021-04-14,3,1137360,6.187
Zimbabwe,ZWE,AFRO,REPORTING,2023-05-14,13935112,7208256,93.758,48.498,5386882,36.244,,2021-02-18,4,2002841,13.475
